Data,TDS_mgL,carga_lb_dia,vazao_mgd_TDS,vazao_mgd_chloride,t_anos,tds_previsto_vazao_chloride,tds_previsto_vazao_tds
2015-04-30,826,53900,7.824249075316018,7.82449040767386,4.167008898015058,825.9745235130736,825.9999999999999
2015-05-31,848,55336,7.824306592461879,7.824438123919469,4.251882272416153,847.9857448325018,848.0000000000001
2015-06-30,872,74411,10.23186038325303,10.231814548361312,4.334017796030117,872.0039062499999,872.0000000000001
2015-07-31,858,55271,7.724030565757184,7.7240026160889474,4.418891170431212,858.0031047135195,858.0000000000001
2015-08-31,850,68978,9.730286359147977,9.729993782751578,4.503764544832307,850.0255591054313,850.0
2015-09-30,820,61741,9.028045855998128,9.02833288924416,4.58590006844627,819.9739301524841,820.0
2015-10-31,772,83961,13.040500242293213,13.040678568256508,4.670773442847365,771.9894432147113,771.9999999999999
2015-11-30,868,72617,10.03119163655251,10.031484015241794,4.7529089664613275,867.9747011806115,868.0
2015-12-31,796,61266,9.228697444054806,9.228549363898711,4.837782340862423,796.0127725170668,796.0000000000001
2016-01-31,764,84369,13.241082526648835,13.241157074340526,4.922655715263518,763.9956986813063,764.0000000000002
2016-02-29,660,69020,12.53905966136182,12.538653287896,5.002053388090349,660.0213903743314,660.0
2016-03-31,722,59798,9.930781136863365,9.930552667692435,5.086926762491444,722.0166108319376,721.9999999999999
2016-04-30,836,60148,8.626782784298877,8.62659270174222,5.169062286105407,836.0184208322868,836.0
2016-05-31,800,44172,6.620503597122302,7.022056773186102,5.253935660506502,754.2523577881466,800.0
2016-06-30,842,57058,8.125281247685937,8.125351570595376,5.336071184120465,841.9927126981236,842.0
2016-07-31,790,44942,6.821175970615913,6.82089059291489,5.420944558521561,790.0330526315789,789.9999999999999
2016-08-31,772,48439,7.523359550701408,7.523249692928584,5.505817932922656,772.0112730806609,772.0
2016-09-30,786,55236,8.426236110348363,8.426054187705736,5.587953456536619,786.0169701255082,786.0000000000001
2016-10-31,778,55975,8.626774672806743,8.62667009249743,5.672826830937714,778.0094316207496,777.9999999999999
2016-11-30,778,74200,11.435581611831358,11.435851318944843,5.754962354551677,777.9816513761469,778.0
2016-12-31,806,79567,11.836734086676069,9.629842138559091,5.839835728952772,990.7127797723628,806.0
2017-01-31,756,85383,13.542023524037912,13.54245795909856,5.924709103353867,755.9757479102508,756.0
2017-02-28,738,70385,11.435566993559624,11.435679042972518,6.0013689253935665,737.9927689062971,738.0
2017-03-31,682,64473,11.335154750100212,11.335082877094552,6.0862422997946615,682.0043243962477,682.0
2017-04-30,628,46234,8.827460324733844,8.827266544972977,6.168377823408624,628.013786112519,628.0
2017-05-31,670,31950,5.717813808654569,5.717792629801484,6.253251197809719,670.002481697481,670.0
2017-06-30,658,37433,6.821229946134277,6.82120969890754,6.335386721423682,658.001953125,658.0
2017-07-31,590,29616,6.018778197780758,6.0188691152341285,6.420260095824777,589.9910878112713,590.0
2017-08-31,634,36598,6.921529022838512,6.921079677611294,6.505133470225872,634.0411619122053,634.0
2017-09-30,656,38965,7.122046265426683,7.122140125737248,6.587268993839836,655.9913547946765,656.0
2017-10-31,596,46371,9.32897976920477,9.328874928226432,6.672142368240931,596.0066980448951,596.0
2017-11-30,634,60466,11.435520353433343,11.492805755395684,6.754277891854894,630.8398539384455,633.9999999999999
2017-12-31,598,50529,10.131493467433412,10.13189448441247,6.839151266255989,597.9763313609468,598.0
2018-01-31,632,51287,9.730253771666211,9.73042255850492,6.924024640657084,631.9890371377581,632.0
2018-02-28,618,49634,9.629965930168488,9.62974843055492,7.000684462696783,618.0139582837655,617.9999999999999
2018-03-31,664,65549,11.836735430932364,11.836488256203546,7.085557837097878,664.013865938645,663.9999999999999
2018-04-30,658,62755,11.43553242512373,11.43514718426601,7.167693360711842,658.0221674876848,658.0000000000001
2018-05-31,644,55493,10.332044923067755,10.332423716199454,7.252566735112937,643.9763905562226,644.0000000000001
2018-06-30,818,64328,9.429326954084654,9.429542458748234,7.3347022587268995,817.981305263158,817.9999999999999
2018-07-31,608,50357,9.93093682948378,9.930563012276746,7.4195756331279945,608.0228870066679,608.0000000000001
2018-08-31,732,44705,7.322830260381858,7.322868977545237,7.5044490075290895,731.9961298005359,732.0
2018-09-30,722,45302,7.523399562898159,7.523581135091926,7.586584531143052,721.9825754356142,721.9999999999999
2018-10-31,720,51802,8.626765254463097,8.62674099131291,7.671457905544147,720.0020250368188,720.0
2018-11-30,732,62464,10.23181454836131,10.231564748201436,7.753593429158111,732.0178715300669,732.0
2018-12-31,544,61440,13.542107490478204,13.542198499265105,7.838466803559206,543.9963441105906,544.0000000000001
2019-01-31,702,72237,12.338334460636618,12.3382872649249,7.923340177960301,702.0026852503039,702.0
2019-02-28,652,82910,15.24731135337129,15.247801758593123,8.0,651.9790301441678,652.0
2019-03-31,664,67216,12.137759671780648,12.137413356985643,8.084873374401095,664.0189458014751,664.0
2019-04-30,636,59061,11.134677163929236,11.13492184975424,8.167008898015059,635.9860241331907,635.9999999999999
2019-05-31,642,49413,9.228691812904817,9.228450572875031,8.251882272416154,642.0167824596231,642.0
2019-06-30,614,50854,9.930947749943368,9.930778781230334,8.334017796030116,614.0104469943484,614.0
2019-07-31,592,36650,7.423115561604771,7.423394617639222,8.41889117043121,591.9777458722183,592.0
2019-08-31,608,32554,6.419995582481383,6.420318290821888,8.503764544832306,607.9694397283531,608.0
2019-09-30,614,42635,8.325912559854396,8.325894029302106,8.58590006844627,614.0013665510354,614.0
2019-10-31,644,49028,9.12834949431759,9.128016735547732,8.670773442847365,644.023476802683,643.9999999999999
2019-11-30,618,44981,8.72719300287925,8.727048212176529,8.752908966461328,618.0102532554084,618.0
2019-12-31,642,66600,12.438647213070665,12.43871145122119,8.837782340862423,641.9966844722784,642.0
2020-01-31,614,61127,11.937095274920129,11.93740659646196,8.922655715263518,613.9839871897518,614.0
2020-02-29,684,59512,10.432355869690214,10.432542854605204,9.00205338809035,683.9877405074069,683.9999999999999
2020-03-31,706,59064,10.031181853384147,10.030901453333977,9.086926762491444,706.0197352587244,706.0
2020-04-30,698,89344,15.347721822541969,15.347721822541969,9.169062286105408,697.9999999999999,697.9999999999999
2020-05-31,694,53996,9.32902093310942,9.329203304023448,9.253935660506503,693.9864334166369,693.9999999999999
