Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2017-07-31,590,6.420260095824777,212,6.018778197780758,6.0188691152341285,6.611956572178773,6.555308357845146,743.9371624389377,702.9658814502009,54.01050271039469
2017-08-31,634,6.505133470225872,243,6.921529022838512,6.921079677611294,6.589228474659201,6.552249733225319,727.219585065731,700.8190575361992,55.03799438447635
2017-09-30,656,6.587268993839836,273,7.122046265426683,7.122140125737248,6.589296554078258,6.55676760213551,727.2690954379087,703.9924292088456,55.06358727271854
2017-10-31,596,6.672142368240931,304,9.32897976920477,9.328874928226432,6.563319693739782,6.567212206253449,708.6201963149489,711.3838846527245,55.58999817136722
2017-11-30,634,6.754277891854894,334,11.435520353433343,11.492805755395684,6.544221896564608,6.576823529506002,695.2155188540634,718.2541885923857,55.34907508350592
2017-12-31,598,6.839151266255989,365,10.131493467433412,10.13189448441247,6.562642645337617,6.579890170493406,708.1405885204587,720.4601971157481,56.057436961203855
2018-01-31,632,6.924024640657084,31,9.730253771666211,9.73042255850492,6.567305532713113,6.579733495002283,711.4502786902535,720.3473275027122,56.144534463255575
2018-02-28,618,7.000684462696783,59,9.629965930168488,9.62974843055492,6.5633750337763725,6.573995106926763,708.6594124676435,716.225532528479,56.10403375481026
2018-03-31,664,7.085557837097878,90,11.836735430932364,11.836488256203546,6.5248465910246845,6.568336979800768,681.8751598569862,712.1844805883327,55.42899934839028
2018-04-30,658,7.167693360711842,120,11.43553242512373,11.43514718426601,6.53096830858747,6.564730552746501,686.0622098916277,709.6206650955031,55.050033499548306
2018-05-31,644,7.252566735112937,151,10.332044923067755,10.332423716199454,6.54385916790804,6.560949363772552,694.9633899928302,706.9425217349012,55.11081563210647
2018-06-30,818,7.3347022587268995,181,9.429326954084654,9.429542458748234,6.552630224996886,6.557584188898572,701.0857641575684,704.5675348877181,55.19865301295514
2018-07-31,608,7.4195756331279945,212,9.93093682948378,9.930563012276746,6.541926406114258,6.553328934661392,693.6214885102636,701.5757907298486,54.801780119378165
2018-08-31,732,7.5044490075290895,243,7.322830260381858,7.322868977545237,6.57715653234182,6.548351486046251,718.4934091023687,698.0924096487583,55.30825730541261
2018-09-30,722,7.586584531143052,273,7.523399562898159,7.523581135091926,6.577908277481714,6.551756285031074,719.0337360993584,700.4733249453421,55.313514961646504
2018-10-31,720,7.671457905544147,304,8.626765254463097,8.62674099131291,6.5695960000675715,6.562578362619141,713.0816999732734,708.0950687814471,55.49780231699165
2018-11-30,732,7.753593429158111,334,10.23181454836131,10.231564748201436,6.555612080724668,6.5731010703214245,703.179420698657,715.5854868394908,55.494785277529715
2018-12-31,544,7.838466803559206,365,13.542107490478204,13.542198499265105,6.5164873879553475,6.576272123976721,676.1989841330352,717.8582484331952,54.34740821167614
2019-01-31,702,7.923340177960301,31,12.338334460636618,12.3382872649249,6.525942166354201,6.575647594268233,682.6226148317877,717.4100645971931,55.493467163216465
2019-02-28,652,8.0,59,15.24731135337129,15.247801758593123,6.485478058537514,6.570603859382434,655.5522817061241,713.8007482957579,53.44864851295625
2019-03-31,664,8.084873374401095,90,12.137759671780648,12.137413356985643,6.519719648813474,6.563302522084789,678.3881717485109,708.60802823789,55.04987493058603
2019-04-30,636,8.167008898015059,120,11.134677163929236,11.13492184975424,6.529144421765409,6.557320337411771,684.8120504890834,704.3816582190826,54.91694759024857
2019-05-31,642,8.251882272416154,151,9.228691812904817,9.228450572875031,6.547140317713381,6.549475267578854,697.2474140480272,698.8773539771348,55.3045450193464
2019-06-30,614,8.334017796030116,181,9.930947749943368,9.930778781230334,6.531159937146098,6.542828736567007,686.1936916014615,694.2476467603711,54.63528655709337
2019-07-31,592,8.41889117043121,212,7.423115561604771,7.423394617639222,6.562592734117508,6.535608326093476,708.1052452416967,689.2529473699625,55.319647254696235
